Unique Drugs,Unique Targets,Drug Names,Target Name
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,P21709,ALDOSTERONE,cAMP-dependent protein kinase catalytic subunit beta;
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,P21860,"3-[(3-hydroxy-2-phenylpropanoyl)oxy]-8,8-dimethyl-8-azoniabicyclo[3.2.1]octane",Ribosomal protein S6 kinase beta-1;
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,P22455,estrone,Tyrosine-protein kinase JAK1;
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,P22694,androsterone,Cyclin-dependent kinase 2;
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O,P23443,etiocholanolone,Ephrin type-A receptor 2;
C[C@@]12CCC[C@H]1[C@@H]1CCc3cc(O)ccc3[C@H]1CC2,P23458,17-Deoxyestradiol,Ephrin type-A receptor 3;
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,P24941,pilocarpine,Ephrin type-A receptor 8;
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,P29317,liothyronine,Leukocyte tyrosine kinase receptor {ECO:0000303|PubMed:1655406};
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,P29320,Adenosine triphosphate,Non-receptor tyrosine-protein kinase TYK2;
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,P29322,ethinyl estradiol,Wee1-like protein kinase;
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,P29376,cholesterol,Tyrosine-protein kinase receptor UFO;
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,P29597,tubocurarine,RAC-alpha serine/threonine-protein kinase;
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,P30291,apomorphine,RAC-beta serine/threonine-protein kinase;
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,P30530,methyltestosterone,G protein-coupled receptor kinase 4;
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,P31749,TETRABENAZINE,Dual specificity protein kinase TTK;
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,P31751,Adenosine 5'-diphosphate,Vascular endothelial growth factor receptor 3;
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,P32298,Adenosine 5'-diphosphate,Activin receptor type-1B;
c1ccc2c(c1)OCC(CN1CCCCC1)O2,P33981,Piperoxan,Serine/threonine-protein kinase receptor R3;
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,P35916,5'-adenylic acid,Tyrosine-protein kinase CSK;
CNCCc1c[nH]c2ccccc12,P36896,N-Methyltryptamine,Protein kinase C iota type;
CN(C)CCc1c[nH]c2ccccc12,P37023,"N,N-DIMETHYLTRYPTAMINE","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform;"
O=C(O)CCCC[C@@H]1CCSS1,P41240,1200-22-2,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform;"
Nc1ccccc1,P41743,ANILINE,Serine/threonine-protein kinase mTOR {ECO:0000305};
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,P42336,androstenedione,Tyrosine-protein kinase ABL2;
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,P42338,Cytidine 5'-diphosphate,Tyrosine-protein kinase FRK;
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,P42345,(+)-Lactose,Tyrosine-protein kinase SYK;
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,P42684,norethindrone,Mitogen-activated protein kinase 8;
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,P42685,BENZIODARONE,Mitogen-activated protein kinase 9;
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,P43405,hydroxyprogesterone,Casein kinase I isoform alpha;
Nc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,P45983,tubercidin,Casein kinase I isoform delta;
Cc1ccc(S(N)(=O)=O)cc1,P45984,P-TOLUENESULFONAMIDE,MAP kinase-activated protein kinase 2;
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,P48729,Nifenalol,Casein kinase I isoform epsilon;
O=C(O)CCS,P48730,3-MERCAPTOPROPIONIC ACID,Dual specificity protein kinase CLK2;
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,P49137,Bisphenol A,Dual specificity protein kinase CLK3;
CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,P49674,Mipsagargin,Glycogen synthase kinase-3 beta {ECO:0000305};
Oc1c(Cl)cccc1Cl,P49760,"2,6-DICHLOROPHENOL",Cyclin-dependent kinase 7;
Oc1c(Cl)cc(Cl)cc1Cl,P49761,"2,4,6-TRICHLOROPHENOL",Cyclin-dependent kinase 9;
Cc1ccc(O)c(C(=O)O)c1,P49841,5-Methylsalicylic acid,Tyrosine-protein kinase Blk;
Oc1cccc2ccccc12,P50613,1-NAPHTHOL,Interleukin-1 receptor-associated kinase 1 {ECO:0000303|PubMed:16024789};
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,P50750,7-DIETHYLAMINO-4-METHYLCOUMARIN,Ribosomal protein S6 kinase alpha-3;
Oc1ccc(-c2ccccc2)cc1,P51451,4-Phenylphenol,Cytoplasmic tyrosine-protein kinase BMX;
Oc1ccc(-c2ccc(O)cc2)cc1,P51617,"4,4'-Dihydroxybiphenyl",cAMP-dependent protein kinase catalytic subunit PRKX;
Oc1ccccc1Cl,P51812,2-CHLOROPHENOL,Serine/threonine-protein kinase Nek2;
CC(OP(C)(=O)F)C(C)(C)C,P51813,SOMAN,Serine/threonine-protein kinase Nek4;
Cc1ccccc1N=C(N)Nc1ccccc1C,P51817,"1,3-Di-o-tolylguanidine",Tyrosine-protein kinase JAK3 {ECO:0000305};
